Item_Fat_Content,Item_MRP,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type
0,249.8092,Dairy,0.016047301,9.3,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,48.2692,Soft Drinks,0.019278216,5.92,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,141.618,Meat,0.016760075,17.5,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,182.095,Fruits and Vegetables,0.0,19.2,1998,OUT010,Tier 3,,Grocery Store
0,53.8614,Household,0.0,8.93,1987,OUT013,Tier 3,High,Supermarket Type1
1,51.4008,Baking Goods,0.0,10.395,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,57.6588,Snack Foods,0.012741088999999999,13.65,1987,OUT013,Tier 3,High,Supermarket Type1
0,107.7622,Snack Foods,0.127469857,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,96.9726,Frozen Foods,0.016687114,16.2,2002,OUT045,Tier 2,,Supermarket Type1
1,187.8214,Frozen Foods,0.09444959,19.2,2007,OUT017,Tier 2,,Supermarket Type1
0,45.5402,Fruits and Vegetables,0.0,11.8,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,144.1102,Dairy,0.045463773,18.5,1997,OUT046,Tier 1,Small,Supermarket Type1
1,145.4786,Fruits and Vegetables,0.1000135,15.1,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,119.6782,Snack Foods,0.047257328,17.6,1997,OUT046,Tier 1,Small,Supermarket Type1
0,196.4426,Fruits and Vegetables,0.06802430000000001,16.35,1987,OUT013,Tier 3,High,Supermarket Type1
1,56.3614,Breakfast,0.06908896099999999,9.0,1997,OUT046,Tier 1,Small,Supermarket Type1
0,115.3492,Health and Hygiene,0.008596051,11.8,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,54.3614,Breakfast,0.06919637599999999,9.0,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,113.2834,Hard Drinks,0.034237682,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,230.5352,Dairy,0.10249212,13.35,2004,OUT035,Tier 2,Small,Supermarket Type1
1,250.8724,Snack Foods,0.138190277,18.85,1987,OUT013,Tier 3,High,Supermarket Type1
1,144.5444,Baking Goods,0.035399923,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,196.5084,Household,0.025698133999999997,14.6,2004,OUT035,Tier 2,Small,Supermarket Type1
0,107.6938,Baking Goods,0.057556998,,1985,OUT019,Tier 1,Small,Grocery Store
1,165.021,Frozen Foods,0.025896485,13.85,1997,OUT046,Tier 1,Small,Supermarket Type1
0,45.906000000000006,Household,0.099887103,13.0,2007,OUT017,Tier 2,,Supermarket Type1
1,42.3112,Snack Foods,0.06669343700000001,7.645,2004,OUT035,Tier 2,Small,Supermarket Type1
0,39.1164,Hard Drinks,0.019356131999999998,11.65,1987,OUT013,Tier 3,High,Supermarket Type1
1,45.5086,Dairy,0.161466534,5.925,1998,OUT010,Tier 3,,Grocery Store
1,43.6454,Canned,0.072221801,,1985,OUT019,Tier 1,Small,Grocery Store
0,55.7956,Dairy,0.17034855100000001,19.25,1998,OUT010,Tier 3,,Grocery Store
0,96.4436,Health and Hygiene,0.080829372,18.6,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,256.6672,Snack Foods,0.0,18.7,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,93.1436,Breads,0.0,17.85,2002,OUT045,Tier 2,,Supermarket Type1
0,174.8738,Soft Drinks,0.097904029,17.5,1997,OUT046,Tier 1,Small,Supermarket Type1
0,146.7102,Health and Hygiene,0.08929113699999999,10.0,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,128.0678,Fruits and Vegetables,0.059511812000000004,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,122.5388,Soft Drinks,0.113123893,8.85,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,36.9874,Snack Foods,0.12311145300000001,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,87.6198,Snack Foods,0.026480953999999998,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,230.6352,Dairy,0.102511504,13.35,1997,OUT046,Tier 1,Small,Supermarket Type1
0,126.00200000000001,Meat,0.02681843,9.8,1987,OUT013,Tier 3,High,Supermarket Type1
0,192.9136,Snack Foods,0.117818348,13.6,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,259.9278,Canned,0.06910283099999999,21.35,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,126.5046,Canned,0.042277867000000004,12.15,1987,OUT013,Tier 3,High,Supermarket Type1
0,178.1002,Dairy,0.08949892599999999,6.42,1998,OUT010,Tier 3,,Grocery Store
0,153.3024,Health and Hygiene,0.0,19.6,2002,OUT045,Tier 2,,Supermarket Type1
0,265.2226,Canned,0.025879577,10.0,2002,OUT045,Tier 2,,Supermarket Type1
1,60.622,Baking Goods,0.121632721,15.85,1997,OUT046,Tier 1,Small,Supermarket Type1
1,196.8794,Dairy,0.25539489600000004,,1985,OUT019,Tier 1,Small,Grocery Store
0,143.8812,Health and Hygiene,0.067779712,7.39,1997,OUT046,Tier 1,Small,Supermarket Type1
0,141.5154,Frozen Foods,0.159803853,10.195,1987,OUT013,Tier 3,High,Supermarket Type1
1,117.0492,Canned,0.028696932,9.895,1987,OUT013,Tier 3,High,Supermarket Type1
0,196.3794,Fruits and Vegetables,0.065041581,10.895,2007,OUT017,Tier 2,,Supermarket Type1
0,151.4708,Household,0.028760012999999997,12.15,2007,OUT017,Tier 2,,Supermarket Type1
0,249.0408,Snack Foods,0.010053105,7.905,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,106.1622,Household,0.048157338,9.195,2002,OUT045,Tier 2,,Supermarket Type1
0,38.0506,Hard Drinks,0.071958197,8.365,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,194.511,Snack Foods,0.17348130399999998,15.1,1997,OUT046,Tier 1,Small,Supermarket Type1
0,180.0344,Canned,0.061082177,,1985,OUT019,Tier 1,Small,Grocery Store
0,246.9144,Fruits and Vegetables,0.0,10.0,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,87.3514,Meat,0.040071131,7.97,2002,OUT045,Tier 2,,Supermarket Type1
0,38.2848,Fruits and Vegetables,0.012090074,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,51.0692,Frozen Foods,0.15028599,,1985,OUT019,Tier 1,Small,Grocery Store
0,255.8356,Snack Foods,0.026015518999999997,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,185.4266,Snack Foods,0.195068226,17.7,1998,OUT010,Tier 3,,Grocery Store
0,172.5738,Meat,0.033082215,19.35,2004,OUT035,Tier 2,Small,Supermarket Type1
1,186.024,Dairy,0.078946455,13.65,2002,OUT045,Tier 2,,Supermarket Type1
0,164.8526,Soft Drinks,0.041700756,17.6,2002,OUT045,Tier 2,,Supermarket Type1
0,95.84100000000001,Health and Hygiene,0.14342264300000002,8.645,1997,OUT046,Tier 1,Small,Supermarket Type1
1,170.1764,Snack Foods,0.10529607199999999,15.6,1997,OUT046,Tier 1,Small,Supermarket Type1
1,59.222,Baking Goods,0.121531501,15.85,1987,OUT013,Tier 3,High,Supermarket Type1
0,164.7526,Starchy Foods,0.0,18.25,2002,OUT045,Tier 2,,Supermarket Type1
0,189.6188,Canned,0.011324862,7.855,2007,OUT017,Tier 2,,Supermarket Type1
0,254.3698,Household,0.186357148,7.825,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,114.0176,Frozen Foods,0.024205661,8.39,1997,OUT046,Tier 1,Small,Supermarket Type1
0,172.3422,Snack Foods,0.033230816,12.85,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,89.9804,Baking Goods,0.113720344,,1985,OUT019,Tier 1,Small,Grocery Store
0,104.9622,Frozen Foods,0.11255650699999999,19.0,2007,OUT017,Tier 2,,Supermarket Type1
0,222.5456,Canned,0.0,5.905,2002,OUT045,Tier 2,,Supermarket Type1
0,101.87,Snack Foods,0.05935224099999999,7.76,1997,OUT046,Tier 1,Small,Supermarket Type1
1,180.3344,Frozen Foods,0.014087057,11.8,1997,OUT046,Tier 1,Small,Supermarket Type1
0,187.9556,Snack Foods,0.045230944,16.75,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,194.6136,Household,0.293417759,,1985,OUT019,Tier 1,Small,Grocery Store
1,171.3764,Baking Goods,0.031382044,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,177.0028,Fruits and Vegetables,0.12639886,15.5,2007,OUT017,Tier 2,,Supermarket Type1
0,160.99200000000002,Fruits and Vegetables,0.025403897999999998,6.055,2004,OUT035,Tier 2,Small,Supermarket Type1
1,155.963,Breakfast,0.039057677,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,95.6436,Snack Foods,0.123115764,6.305,1997,OUT046,Tier 1,Small,Supermarket Type1
0,117.2808,Meat,0.039624006,20.85,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,122.17299999999999,Fruits and Vegetables,0.040421193,20.75,1998,OUT010,Tier 3,,Grocery Store
0,39.9138,Dairy,0.10527411099999999,8.895,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,55.1614,Soft Drinks,0.033970195,19.6,2002,OUT045,Tier 2,,Supermarket Type1
0,57.893,Fruits and Vegetables,0.053212652,19.7,2004,OUT035,Tier 2,Small,Supermarket Type1
0,114.5492,Health and Hygiene,0.024378706,9.8,2004,OUT035,Tier 2,Small,Supermarket Type1
0,120.0414,Frozen Foods,0.009714595,,1985,OUT019,Tier 1,Small,Grocery Store
0,246.046,Frozen Foods,0.131383762,12.15,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,187.4556,Fruits and Vegetables,0.07461309,8.75,2004,OUT035,Tier 2,Small,Supermarket Type1
0,149.9708,Household,0.028459761,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,187.8556,Fruits and Vegetables,0.07462720099999999,8.75,1997,OUT046,Tier 1,Small,Supermarket Type1
0,151.0708,Frozen Foods,0.063695084,13.3,2002,OUT045,Tier 2,,Supermarket Type1
1,178.5344,Snack Foods,0.045797829000000005,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,179.1028,Snack Foods,0.11585722300000001,8.31,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,38.7822,Soft Drinks,0.024832806000000002,16.75,1987,OUT013,Tier 3,High,Supermarket Type1
0,212.0902,Snack Foods,0.034027909,19.75,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,141.1838,Canned,0.046769599999999995,17.1,1987,OUT013,Tier 3,High,Supermarket Type1
1,163.121,Baking Goods,0.11657670199999999,10.5,1987,OUT013,Tier 3,High,Supermarket Type1
1,121.3098,Baking Goods,0.0,6.635,2002,OUT045,Tier 2,,Supermarket Type1
0,225.372,Soft Drinks,0.278974075,,1985,OUT019,Tier 1,Small,Grocery Store
0,41.4138,Soft Drinks,0.035913805,14.15,1987,OUT013,Tier 3,High,Supermarket Type1
0,232.53,Dairy,0.079806266,13.3,1997,OUT046,Tier 1,Small,Supermarket Type1
0,102.4016,Frozen Foods,0.005505481,8.89,2007,OUT017,Tier 2,,Supermarket Type1
1,176.937,Meat,0.064625342,,1985,OUT019,Tier 1,Small,Grocery Store
0,121.7098,Snack Foods,0.071636937,,1985,OUT027,Tier 3,Medium,Supermarket Type3
1,173.2054,Breads,0.0,9.1,2002,OUT045,Tier 2,,Supermarket Type1
0,239.0906,Frozen Foods,0.032677677999999995,7.5,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,192.4478,Frozen Foods,0.160760054,16.85,2007,OUT017,Tier 2,,Supermarket Type1
0,109.0228,Snack Foods,0.06911065,7.485,2004,OUT035,Tier 2,Small,Supermarket Type1
0,140.3154,Soft Drinks,0.041177505,11.6,2007,OUT017,Tier 2,,Supermarket Type1
0,227.0694,Snack Foods,0.040081193,11.65,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,47.5034,Household,0.035307322,13.0,2007,OUT017,Tier 2,,Supermarket Type1
0,159.0578,Soft Drinks,0.063017847,12.65,2002,OUT045,Tier 2,,Supermarket Type1
1,92.512,Canned,0.171938781,20.25,1998,OUT010,Tier 3,,Grocery Store
1,190.153,Canned,0.040197932,8.6,2004,OUT035,Tier 2,Small,Supermarket Type1
0,62.7194,Breads,0.049058014000000004,12.6,2007,OUT017,Tier 2,,Supermarket Type1
0,95.041,Frozen Foods,0.01161096,17.7,2004,OUT035,Tier 2,Small,Supermarket Type1
0,82.4276,Soft Drinks,0.183507295,14.15,1997,OUT046,Tier 1,Small,Supermarket Type1
0,52.7956,Dairy,0.102349519,19.25,2007,OUT017,Tier 2,,Supermarket Type1
0,151.7682,Hard Drinks,0.08670898699999999,8.88,1987,OUT013,Tier 3,High,Supermarket Type1
0,40.2822,Household,0.032835147,20.5,2002,OUT045,Tier 2,,Supermarket Type1
0,180.5976,Canned,0.033809913,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,160.292,Household,0.07266912,13.5,1997,OUT046,Tier 1,Small,Supermarket Type1
0,224.4404,Health and Hygiene,0.144338493,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,101.7016,Frozen Foods,0.009163216,8.89,1998,OUT010,Tier 3,,Grocery Store
0,188.5188,Canned,0.011307038,7.855,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,116.0492,Household,0.076855628,7.235,1997,OUT046,Tier 1,Small,Supermarket Type1
0,165.4526,Starchy Foods,0.059956876,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,60.5852,Dairy,0.038532062,6.92,2002,OUT045,Tier 2,,Supermarket Type1
0,90.8172,Fruits and Vegetables,0.043209581,9.3,2007,OUT017,Tier 2,,Supermarket Type1
0,132.1284,Others,0.056816465,18.5,1998,OUT010,Tier 3,,Grocery Store
0,154.5972,Household,0.019866705,8.02,2004,OUT035,Tier 2,Small,Supermarket Type1
0,105.1622,Household,0.048331717,9.195,2007,OUT017,Tier 2,,Supermarket Type1
0,105.5938,Others,0.091221855,12.8,2002,OUT045,Tier 2,,Supermarket Type1
0,177.6344,Household,0.027622076000000002,16.6,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,53.06399999999999,Frozen Foods,0.0,14.0,2004,OUT035,Tier 2,Small,Supermarket Type1
0,246.3802,Frozen Foods,0.039355947,18.6,1999,OUT049,Tier 1,Medium,Supermarket Type1
0,226.8404,Starchy Foods,0.060836524,16.0,2004,OUT035,Tier 2,Small,Supermarket Type1
0,160.692,Health and Hygiene,0.082316506,17.6,2004,OUT035,Tier 2,Small,Supermarket Type1
0,178.237,Snack Foods,0.155350299,21.25,2004,OUT035,Tier 2,Small,Supermarket Type1
0,117.5492,Household,0.076841095,7.235,2004,OUT035,Tier 2,Small,Supermarket Type1
0,50.3692,Soft Drinks,0.151419185,14.6,2007,OUT017,Tier 2,,Supermarket Type1
1,161.52100000000002,Frozen Foods,0.026001976,13.85,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,197.6426,Frozen Foods,0.073209447,13.65,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,31.29,Soft Drinks,0.041683481,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,226.172,Fruits and Vegetables,0.042560252,7.365,1997,OUT046,Tier 1,Small,Supermarket Type1
0,223.5746,Household,0.014081156000000001,18.35,2009,OUT018,Tier 3,Medium,Supermarket Type2
1,132.5626,Baking Goods,0.0,5.465,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,99.8358,Breakfast,0.152918384,18.6,2007,OUT017,Tier 2,,Supermarket Type1
0,140.9154,Soft Drinks,0.030969273999999998,13.85,2007,OUT017,Tier 2,,Supermarket Type1
1,154.5656,Frozen Foods,0.06037677599999999,14.0,1987,OUT013,Tier 3,High,Supermarket Type1
1,54.763999999999996,Snack Foods,0.04192285,14.0,1987,OUT013,Tier 3,High,Supermarket Type1
0,97.0094,Fruits and Vegetables,0.077367431,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,222.5456,Canned,0.045838211,5.905,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,114.2518,Soft Drinks,0.071077939,7.27,1997,OUT046,Tier 1,Small,Supermarket Type1
1,214.55599999999998,Meat,0.09465987099999999,6.155,1997,OUT046,Tier 1,Small,Supermarket Type1
1,233.4958,Soft Drinks,0.077608838,19.5,2007,OUT017,Tier 2,,Supermarket Type1
0,216.8824,Canned,0.021327477,15.2,2007,OUT017,Tier 2,,Supermarket Type1
1,125.0046,Canned,0.042485444000000004,12.15,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,198.8084,Household,0.025578526,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,61.9194,Breads,0.048980800000000005,12.6,2009,OUT018,Tier 3,Medium,Supermarket Type2
0,164.821,Others,0.019471688,14.5,2004,OUT035,Tier 2,Small,Supermarket Type1
0,173.0738,Fruits and Vegetables,0.122918852,16.6,2007,OUT017,Tier 2,,Supermarket Type1
1,151.4366,Meat,0.057373797000000004,11.8,1987,OUT013,Tier 3,High,Supermarket Type1
1,178.8318,Fruits and Vegetables,0.044155597000000005,13.1,1987,OUT013,Tier 3,High,Supermarket Type1
0,115.1834,Fruits and Vegetables,0.291865402,17.7,1998,OUT010,Tier 3,,Grocery Store
0,196.5794,Breads,0.0,17.85,1998,OUT010,Tier 3,,Grocery Store
1,92.6804,Starchy Foods,0.064750025,12.3,2002,OUT045,Tier 2,,Supermarket Type1
0,81.4618,Health and Hygiene,0.098312421,11.8,1998,OUT010,Tier 3,,Grocery Store
1,42.1112,Soft Drinks,0.191013663,,1985,OUT019,Tier 1,Small,Grocery Store
0,157.4604,Baking Goods,0.176573035,11.1,2002,OUT045,Tier 2,,Supermarket Type1
1,153.0656,Frozen Foods,0.060134441,,1985,OUT027,Tier 3,Medium,Supermarket Type3
0,198.1426,Meat,0.0072946519999999996,11.3,2002,OUT045,Tier 2,,Supermarket Type1
