Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type
0,0,249.8092,3735.138,0,0.016047301,9.3,4,9,0,Medium,1
1,1,48.2692,443.4228,1,0.019278216,5.92,8,3,2,Medium,2
0,2,141.618,2097.27,2,0.016760075,17.5,4,9,0,Medium,1
1,3,182.095,732.38,3,0.0,19.2,3,0,2,,0
0,4,53.8614,994.7052,4,0.0,8.93,1,1,2,High,1
1,5,51.4008,556.6088,5,0.0,10.395,8,3,2,Medium,2
1,6,57.6588,343.5528,6,0.012741088999999999,13.65,1,1,2,High,1
0,7,107.7622,4022.7636,6,0.127469857,,0,5,2,Medium,3
1,8,96.9726,1076.5986,7,0.016687114,16.2,5,7,1,,1
1,9,187.8214,4710.535,7,0.09444959,19.2,7,2,1,,1
0,10,45.5402,1516.0266,3,0.0,11.8,4,9,0,Medium,1
1,11,144.1102,2187.153,0,0.045463773,18.5,2,8,0,Small,1
1,12,145.4786,1589.2646,3,0.1000135,15.1,4,9,0,Medium,1
1,13,119.6782,2145.2076,6,0.047257328,17.6,2,8,0,Small,1
0,14,196.4426,1977.4260000000002,3,0.06802430000000001,16.35,1,1,2,High,1
1,15,56.3614,1547.3192,8,0.06908896099999999,9.0,2,8,0,Small,1
0,16,115.3492,1621.8888,9,0.008596051,11.8,8,3,2,Medium,2
1,15,54.3614,718.3982,8,0.06919637599999999,9.0,4,9,0,Medium,1
0,17,113.2834,2303.6679999999997,10,0.034237682,,0,5,2,Medium,3
0,18,230.5352,2748.4224,0,0.10249212,13.35,6,6,1,Small,1
1,19,250.8724,3775.086,6,0.138190277,18.85,1,1,2,High,1
1,20,144.5444,4064.0432,5,0.035399923,,0,5,2,Medium,3
0,21,196.5084,1587.2672,4,0.025698133999999997,14.6,6,6,1,Small,1
0,22,107.6938,214.3876,5,0.057556998,,0,4,0,Small,0
1,23,165.021,4078.025,7,0.025896485,13.85,2,8,0,Small,1
0,24,45.906000000000006,838.908,4,0.099887103,13.0,7,2,1,,1
1,25,42.3112,1065.28,6,0.06669343700000001,7.645,6,6,1,Small,1
0,26,39.1164,308.9312,10,0.019356131999999998,11.65,1,1,2,High,1
1,27,45.5086,178.4344,0,0.161466534,5.925,3,0,2,,0
1,28,43.6454,125.8362,11,0.072221801,,0,4,0,Small,0
0,29,55.7956,163.7868,0,0.17034855100000001,19.25,3,0,2,,0
0,30,96.4436,2741.7644,9,0.080829372,18.6,8,3,2,Medium,2
0,31,256.6672,3068.0064,6,0.0,18.7,8,3,2,Medium,2
