"","Item_Fat_Content","Item_MRP","Item_Type","Item_Visibility","Item_Weight","Outlet_Establishment_Year","Outlet_Identifier","Outlet_Location_Type","Outlet_Size","Outlet_Type"
"1",0,249.8092,"Dairy",0.016047301,9.3,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"2",1,48.2692,"Soft Drinks",0.019278216,5.92,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"3",0,141.618,"Meat",0.016760075,17.5,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"4",1,182.095,"Fruits and Vegetables",0,19.2,1998,"OUT010","Tier 3","Medium","Grocery Store"
"5",0,53.8614,"Household",0,8.93,1987,"OUT013","Tier 3","High","Supermarket Type1"
"6",1,51.4008,"Baking Goods",0,10.395,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"7",1,57.6588,"Snack Foods",0.012741089,13.65,1987,"OUT013","Tier 3","High","Supermarket Type1"
"8",0,107.7622,"Snack Foods",0.127469857,13.451683529201,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"9",1,96.9726,"Frozen Foods",0.016687114,16.2,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"10",1,187.8214,"Frozen Foods",0.09444959,19.2,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"11",0,45.5402,"Fruits and Vegetables",0,11.8,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"12",1,144.1102,"Dairy",0.045463773,18.5,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"13",1,145.4786,"Fruits and Vegetables",0.1000135,15.1,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"14",1,119.6782,"Snack Foods",0.047257328,17.6,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"15",0,196.4426,"Fruits and Vegetables",0.0680243,16.35,1987,"OUT013","Tier 3","High","Supermarket Type1"
"16",1,56.3614,"Breakfast",0.069088961,9,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"17",0,115.3492,"Health and Hygiene",0.008596051,11.8,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"18",1,54.3614,"Breakfast",0.069196376,9,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"19",0,113.2834,"Hard Drinks",0.034237682,11.5736070324196,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"20",0,230.5352,"Dairy",0.10249212,13.35,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"21",1,250.8724,"Snack Foods",0.138190277,18.85,1987,"OUT013","Tier 3","High","Supermarket Type1"
"22",1,144.5444,"Baking Goods",0.035399923,11.2645835556229,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"23",0,196.5084,"Household",0.025698134,14.6,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"24",0,107.6938,"Baking Goods",0.057556998,12.771280947041,1985,"OUT019","Tier 1","Small","Grocery Store"
"25",1,165.021,"Frozen Foods",0.025896485,13.85,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"26",0,45.906,"Household",0.099887103,13,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"27",1,42.3112,"Snack Foods",0.066693437,7.645,2004,"OUT035","Tier 2","Small","Supermarket Type1"
"28",0,39.1164,"Hard Drinks",0.019356132,11.65,1987,"OUT013","Tier 3","High","Supermarket Type1"
"29",1,45.5086,"Dairy",0.161466534,5.925,1998,"OUT010","Tier 3","Medium","Grocery Store"
"30",1,43.6454,"Canned",0.072221801,12.6989617721846,1985,"OUT019","Tier 1","Small","Grocery Store"
"31",0,55.7956,"Dairy",0.170348551,19.25,1998,"OUT010","Tier 3","Medium","Grocery Store"
"32",0,96.4436,"Health and Hygiene",0.080829372,18.6,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"33",0,256.6672,"Snack Foods",0,18.7,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"34",0,93.1436,"Breads",0,17.85,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"35",0,174.8738,"Soft Drinks",0.097904029,17.5,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"36",0,146.7102,"Health and Hygiene",0.089291137,10,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"37",1,128.0678,"Fruits and Vegetables",0.059511812,14.2489407108643,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"38",1,122.5388,"Soft Drinks",0.113123893,8.85,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"39",1,36.9874,"Snack Foods",0.123111453,9.34452345460061,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"40",0,87.6198,"Snack Foods",0.026480954,14.1288066168274,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"41",0,230.6352,"Dairy",0.102511504,13.35,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"42",0,126.002,"Meat",0.02681843,9.8,1987,"OUT013","Tier 3","High","Supermarket Type1"
"43",0,192.9136,"Snack Foods",0.117818348,13.6,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"44",0,259.9278,"Canned",0.069102831,21.35,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"45",1,126.5046,"Canned",0.042277867,12.15,1987,"OUT013","Tier 3","High","Supermarket Type1"
"46",0,178.1002,"Dairy",0.089498926,6.42,1998,"OUT010","Tier 3","Medium","Grocery Store"
"47",0,153.3024,"Health and Hygiene",0,19.6,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"48",0,265.2226,"Canned",0.025879577,10,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"49",1,60.622,"Baking Goods",0.121632721,15.85,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"50",1,196.8794,"Dairy",0.255394896,13.0465687529139,1985,"OUT019","Tier 1","Small","Grocery Store"
"51",0,143.8812,"Health and Hygiene",0.067779712,7.39,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"52",0,141.5154,"Frozen Foods",0.159803853,10.195,1987,"OUT013","Tier 3","High","Supermarket Type1"
"53",1,117.0492,"Canned",0.028696932,9.895,1987,"OUT013","Tier 3","High","Supermarket Type1"
"54",0,196.3794,"Fruits and Vegetables",0.065041581,10.895,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"55",0,151.4708,"Household",0.028760013,12.15,2007,"OUT017","Tier 2","Medium","Supermarket Type1"
"56",0,249.0408,"Snack Foods",0.010053105,7.905,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"57",0,106.1622,"Household",0.048157338,9.195,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"58",0,38.0506,"Hard Drinks",0.071958197,8.365,1999,"OUT049","Tier 1","Medium","Supermarket Type1"
"59",0,194.511,"Snack Foods",0.173481304,15.1,1997,"OUT046","Tier 1","Small","Supermarket Type1"
"60",0,180.0344,"Canned",0.061082177,13.465079741398,1985,"OUT019","Tier 1","Small","Grocery Store"
"61",0,246.9144,"Fruits and Vegetables",0,10,2009,"OUT018","Tier 3","Medium","Supermarket Type2"
"62",1,87.3514,"Meat",0.040071131,7.97,2002,"OUT045","Tier 2","Medium","Supermarket Type1"
"63",0,38.2848,"Fruits and Vegetables",0.012090074,9.46629261271077,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
"64",1,51.0692,"Frozen Foods",0.15028599,13.2121992701713,1985,"OUT019","Tier 1","Small","Grocery Store"
"65",0,255.8356,"Snack Foods",0.026015519,14.2175934263606,1985,"OUT027","Tier 3","Medium","Supermarket Type3"
